data_augmentation,model_shape,encoding_type,test_loss,train_loss,train_dropout_rate,train_early_stop_patience,train_batch_size,train_val_split,lr_initial,lr_decay_step,lr_decay_rate,lr_stair_case
True,mlp_2_3300_200_4600_1700_45,One Hot,0.023607920855283737,mean_squared_error,0.4,50,32,0.2,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_43,Linear,0.02404484711587429,mean_squared_error,0.4,50,32,0.2,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,One Hot,0.023401489481329918,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,Linear,0.02438724972307682,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,One Hot,0.022775031626224518,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,One Hot,0.02337101846933365,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,Linear,0.023606857284903526,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,One Hot,0.022657349705696106,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,Linear,0.02311321720480919,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,One Hot,0.022657349705696106,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,Linear,0.02311321720480919,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,One Hot,0.023243552073836327,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
True,mlp_2_3300_200_4600_1700_45,Linear,0.023700177669525146,mean_squared_error,0.4,50,32,0.15/0.15,0.0014558,100,0.99,False
